ColumnName,Pass,Fail,PercentagePass,PercentageFail,TotalCount
CUST_ID,8950,0,100.0,0.0,8950
BALANCE,8950,0,100.0,0.0,8950
BALANCE_FREQUENCY,8950,0,100.0,0.0,8950
PURCHASES,8950,0,100.0,0.0,8950
ONEOFF_PURCHASES,8950,0,100.0,0.0,8950
INSTALLMENTS_PURCHASES,8950,0,100.0,0.0,8950
CASH_ADVANCE,8950,0,100.0,0.0,8950
PURCHASES_FREQUENCY,8950,0,100.0,0.0,8950
ONEOFF_PURCHASES_FREQUENCY,8950,0,100.0,0.0,8950
PURCHASES_INSTALLMENTS_FREQUENCY,8950,0,100.0,0.0,8950
CASH_ADVANCE_FREQUENCY,8950,0,100.0,0.0,8950
CASH_ADVANCE_TRX,8950,0,100.0,0.0,8950
PURCHASES_TRX,8950,0,100.0,0.0,8950
CREDIT_LIMIT,8949,1,99.99,0.01,8950
PAYMENTS,8950,0,100.0,0.0,8950
MINIMUM_PAYMENTS,8637,313,96.5,3.5,8950
PRC_FULL_PAYMENT,8950,0,100.0,0.0,8950
TENURE,8950,0,100.0,0.0,8950
